Screen ID,Screen / State,Shell,Visual Direction,Primary Composition,Icon / Visual Group,Motion,Mobile Treatment
AUTH-01,Login,Auth,Editorial auth,Premium form + abstract side panel,"Mail, Lock, Eye, Login",Subtle panel entrance,Single-column form
AUTH-02,Sign Up,Auth,Editorial auth,Premium form + password guidance,"User Add, Mail, Lock",Subtle panel entrance,Single-column form
AUTH-03,Email Verification,Auth,Focused state,Large mail-check state card,"Mail Check, Reload",Success transition,Centered mobile card
AUTH-04,Forgot Password,Auth,Focused form,Compact recovery card,"Key, Mail",Panel fade,Single-column
AUTH-05,Reset Password,Auth,Focused form,Password reset + success state,"Lock, Eye, Check",Success reveal,Single-column
AUTH-06,Authentication Error,Auth,State page,Coral soft error card,"Error, Retry",No dramatic motion,Centered
ONB-01,Welcome,Onboarding,Spacious premium,Selective abstract academic illustration,"Sparkle, Arrow",Gentle reveal,Single-column
ONB-02,Profile,Onboarding,Form-focused,Stepper + profile fields,"User, Camera",Stepper progress,Single-column
ONB-03,Academic Setup,Onboarding,Form-focused,GPA/attendance setup cards,"Graduation Cap, Target",Stepper progress,Single-column
ONB-04,Semester,Onboarding,Form-focused,Semester timeline form,Calendar,Stepper progress,Single-column
ONB-05,Courses,Onboarding,Repeatable cards,Course rows/cards + colors,"Book, Plus, Trash",Add/remove transition,Stacked cards
ONB-06,Preferences,Onboarding,Preference cards,Grouped toggles,"Bell, Settings",Toggle motion,Stacked
ONB-07,Finish,Onboarding,Success summary,Setup summary + restrained success visual,Check Circle,Success reveal,Centered
DASH-01,Dashboard,Application,Hybrid editorial+bento,Readiness hero + KPIs + timeline + AI card,"Dashboard, GPA, Attendance, Focus, Sparkle",Card/chart entrance,Single-column priority stack
SEM-01,Semester List,Application,Balanced,Semester timeline/cards,"Calendar, More",Hover lift,Stacked cards
SEM-02,Create Semester,Application,Form,Adaptive field card,"Calendar, Plus",Form state,Single-column
SEM-03,Edit Semester,Application,Form,Adaptive field card,"Calendar, Edit",Unsaved state,Single-column
SEM-04,Delete Semester,Application,Danger modal/state,Coral confirmation,"Trash, Alert",Modal transition,Bottom sheet/modal
COURSE-01,Courses,Application,Balanced grid,Course identity cards + filters,"Book, Search, Filter",Card hover,1-column cards
COURSE-02,Add Course,Application,Form,Course identity preview + fields,"Book, Plus",Form focus,Single-column
COURSE-03,Edit Course,Application,Form,Course identity preview + fields,"Edit, Trash",Unsaved state,Single-column
COURSE-04,Course Detail,Application,Premium detail,Header identity + icon tabs + summaries,"Book, Tabs icons",Tab transition,Scrollable tabs
ATT-01,Attendance Overview,Application,Data-rich balanced,Ring KPIs + comparison table/cards,"Calendar Check, Shield",Ring entrance,Course cards
